Company_Name,ship_name,built_year,gt,dwt,length,width,PC1,PC2,cluster
NAVIOS CANARY,Bulk Carrier,2015,92379,180528,292,45,-1.2170411864172799,0.14464225794025481,1
GOLDEN BEIJING,Bulk Carrier,2010,92270,175820,292,45,-1.264381887364347,-0.4433282801314324,1
SKAGEN MAERSK,Container Ship,1999,92198,110387,347,43,-1.0063429811682574,-1.0516327239993,0
OOCL UTAH,Container Ship,2015,92111,101279,335,43,-1.159765558922737,0.8359436575851849,1
CAPE SUN,Bulk Carrier,2010,92050,175611,292,45,-1.2681033659813292,-0.4433899639434909,1
CIC ROLACO,Bulk Carrier,2012,91971,175641,292,45,-1.2601504662263374,-0.20109891826089754,1
CAPE SANDRA,Bulk Carrier,2011,91910,175607,290,45,-1.2947101612695469,-0.33782835410703743,1
MALINDI,Bulk Carrier,2008,91739,177987,292,45,-1.2684098639795744,-0.6972005659642942,1
CAPE SHANGHAI,Bulk Carrier,2012,91625,176460,292,45,-1.260115585134925,-0.20591247804803559,1
OOCL TAIPEI,Container Ship,2015,91499,101147,335,43,-1.167812593830029,0.8339252258369073,1
AFALES,Bulk Carrier,2012,91407,177935,292,45,-1.2551739843705745,-0.21288630071168851,1
EDWARD N,Bulk Carrier,2011,91374,176216,292,45,-1.2687650945303182,-0.32733249838435347,1
CASTA DIVA,Bulk Carrier,2011,91373,177807,292,45,-1.2606152360912064,-0.3338750010765632,1
LILA NINGBO,Bulk Carrier,2002,91178,175775,282,45,-1.4591418798478706,-1.4948996896512503,0
COSCO VIETNAM,Container Ship,2011,91051,102875,334,43,-1.1964812524082329,0.3318387164976974,1
BILBAO KNUTSEN,LNG Tanker,2004,90835,77217,284,43,-2.0932234004921004,-0.7942654674118093,0
BAO CHANG HAI,Bulk Carrier,1990,90633,173329,290,46,-1.3324679440682952,-2.9021581424138025,0
HONORSHIP,Bulk Carrier,2010,90423,180242,289,45,-1.3078521922548587,-0.4920916732094239,1
MARAN TRANSPORTER,Bulk Carrier,2010,90136,179719,292,45,-1.2700780475666238,-0.46828112932005006,1
MARAN ASTRONOMER,Bulk Carrier,2012,90104,179719,292,45,-1.261713062470218,-0.22567012669039038,1
WINNING LOYALTY,Bulk Carrier,2004,90091,180310,289,45,-1.3377523959426565,-1.221995083792222,0
BRAVE SAILOR,Bulk Carrier,2011,89991,176283,292,45,-1.2850758405125269,-0.3333949583561357,1
